ByteHamster;5811634;Maintainer
danieloeh;968613;Original creator of AntennaPod (retired)
mfietz;6860662;Maintainer (retired)
TomHennen;5216560;Maintainer (retired)
orionlee;250644;Contributor
domingos86;9538859;Contributor
TacoTheDank;32376686;Contributor
tonytamsf;149837;Contributor
damoasda;46045854;Contributor
andersonvom;69922;Contributor
ebraminio;833473;Contributor
keunes;11229646;Maintainer
shortspider;5712543;Contributor
spacecowboy;223655;Contributor
flxholle;36813904;Contributor
weblate;1607653;Contributor
patheticpat;16046;Contributor
brad;1614;Contributor
Cj-Malone;10121513;Contributor
maxbechtold;9162198;Contributor
flofriday;21206831;Contributor
gaul;848247;Contributor
qkolj;6667105;Contributor
pachecosf;46357909;Contributor
bws9000;262625;Contributor
hannesa2;3314607;Contributor
johnjohndoe;144518;Contributor
gerardolgvr;20119298;Contributor
ahangarha;11241315;Contributor
rharriso;570910;Contributor
xgouchet;818706;Contributor
mueller-ma;22525368;Contributor
ueen;5067479;Contributor
peakvalleytech;65185819;Contributor
terminalmage;328598;Contributor
gitstart;1501599;Contributor
TheRealFalcon;153674;Contributor
Slinger;75751;Contributor
vbh;56578479;Contributor
jonasburian;15125616;Contributor
eblis;540188;Contributor
NWuensche;15856197;Contributor
malockin;12814657;Contributor
udif;809640;Contributor
jas14;569991;Contributor
matejdro;507922;Contributor
two-heart;12869538;Contributor
dirkmueller;1029152;Contributor
jatinkumarg;20503830;Contributor
peschmae0;4450993;Contributor
orelogo;15976578;Contributor
txtd;7108931;Contributor
ydinath;4193331;Contributor
VishnuSanal;50027064;Contributor
dethstar;1239177;Contributor
drabux;10663142;Contributor
mchelen;30691;Contributor
beijingling;13600573;Contributor
saqura;1935380;Contributor
binarytoto;75904760;Contributor
CedricCabessa;365097;Contributor
jhenninger;197274;Contributor
Xeitor;8825715;Contributor
amanjn38;42531312;Contributor
schasi;5891239;Contributor
loucasal;25279797;Contributor
ligi;111600;Contributor
egsavage;126165;Contributor
dominikfill;45312697;Contributor
cketti;218061;Contributor
MeirAtIMDDE;4421079;Contributor
deandreamatias;21011641;Contributor
bibz;5141956;Contributor
